page_id	page_name	quality	popularity	authors_interest
11512553	Voile (mycologie)	10.9769	0.0	0
9516541	(6229) Tursachan	31.0901	0.0	0
1824964	Super Bowl XLIII	22.5239	2.0	0
2505784	District de Honghuagang	25.197	0.0	0
12300717	Ligne de Nancy à Metz	2.9546	0.0	0
4294962	Sur l'interprétation des rêves	5.7772	0.0	0
974746	Sonothèque	8.9903	1.0	0
8788432	Mertendorf (Thuringe)	7.9766	0.0	0
6733405	Them Firewater Boyz, Vol. 1	11.7712	0.0	0
4744853	Extravehicular Mobility Unit	20.4179	4.0	1
1229127	Claude-Pierre Goujet	16.0214	0.0	0
5333305	Free Me	3.8323	0.0	0
2779938	Ahmosé-Ânkh	19.2932	1.0	0
12465802	Verhelst	0.7646	0.0	0
7397272	Diocèse de Sibolga	14.3069	0.0	0
5512386	Hassine Bey	9.7382	3.0	0
7059970	Dubicze Cerkiewne (gmina)	22.0275	0.0	0
2037085	György Bakcsi	14.5269	0.0	0
166191	Minuit, chrétiens	32.066	5.0	1
7330490	Thripidae	14.1478	1.0	0
1773966	Nic (bande dessinée)	21.9545	0.0	0
366534	Spad	22.8649	4.0	0
5563135	Anne-Sylvie Sprenger	7.4861	0.0	0
11102272	Astrid Manfredi	28.3661	1.0	0
5101077	Respect des fonds	27.5425	2.0	0
7604910	Juin 1835	10.5503	1.0	0
5978350	Hôtel de Fontanès	27.7741	0.0	0
7158230	Sépon	3.7366	1.0	0
6372604	Anraku-ji (Ueda)	31.7017	0.0	0
6791629	Wonderful Town (film, 2007)	27.5135	0.0	0
911785	Louis Quinn	8.2061	0.0	0
11721725	Zaouïa de Sidi Mouloud	42.5339	0.0	0
4060360	Histoire de Châlus	49.2626	1.0	1
4866127	Divorce (homonymie)	4.9165	0.0	0
637340	Virion	17.2376	10.0	0
1034350	Liste des communes de la province de Las Palmas	31.8741	1.0	0
11853025	Otematata (rivière)	10.9303	0.0	0
7601962	Maurice de Lacoste du Vivier	3.6975	0.0	0
1291712	Centrale nucléaire de Lemoiz	31.6852	3.0	0
506544	Scheid	23.2752	0.0	0
5581965	Urdaneta (Lara)	17.1011	0.0	0
2106413	Abe (personnage)	10.4249	2.0	0
